"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051771053&doi=10.22394%2f2073-7203-2018-36-2-37-76&partnerID=40&md5=32591eb2b3a70d41a6282215427f3fcd","Russian State University for the Humanities, Russian Federation; Research Centre for East European Studies, University of Bremen, Germany","","Russian"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923483897&doi=10.1093%2foxfordhb%2f9780195398625.013.0033&partnerID=40&md5=4d1d537c3519bdc3a783b423f85a3a21","Department of Economics, University of Illinois at Chicago, United States","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952324381&doi=10.1016%2fj.soin.2015.08.010&partnerID=40&md5=0986b8a5f86ee1f7c44fadb9a317d7ce","EA 7299, Ethos, Université de Lorraine, Faculté de Médecine, 9, avenue de la forêt de Haye, Vandoeuvre-lès-Nancy, 54500, France; Ifsi CPN, 1, rue du docteur Archambault BP 110, Laxou, 54521, France; Clinique Victor Hugo, 18, rue Victor Hugo, Le Mans, 72015, France","","French"
"2014","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901343448&doi=10.1007%2fs10835-014-9212-3&partnerID=40&md5=ad0459ef0eeddc3a13d3ac812c1d6763","North Carolina State University, Raleigh, NC, United States","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350366724&doi=10.1007%2fs11245-009-9057-4&partnerID=40&md5=76dd441ec22170873ab99eed611ed4e8","Università di Torino, Torino, Italy","","English"
"2008","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46349089099&partnerID=40&md5=5506f7208f4619c9c0ae482e9a5983e0","Department of American Jewish History, Jewish Theological Seminary, New York, NY, United States","","English"
"2005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23844553839&doi=10.1007%2fs11089-005-1362-2&partnerID=40&md5=1deb3a0ef15f3b92aef125aef296ff11","American Baptist Seminary of the West, Graduate Theological Union, Berkeley, CA 94704, 2606 Dwight Way, United States","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075619318&doi=10.1163%2f15700631-12503005&partnerID=40&md5=41fd43ba162713c463babfd5ec6469d0","Yale University, New Haven, CT, United States","","English"
"2007","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749159557&doi=10.1525%2fjm.2007.24.2.167&partnerID=40&md5=5a4c229b884c448e7128ecf8e6894284","Swarthmore College","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857844705&doi=10.1525%2fjung.2012.6.1.35&partnerID=40&md5=b18e34b5744de8c8431c510495f39716","Brooklyn, NY 11242, 26 Court Street, United States","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032658762&doi=10.1080%2f0268117X.2017.1395355&partnerID=40&md5=118ce62a8912d0456b1e58351feb15f6","English Department, Walla Walla University, College Place, WA, United States","","English"
"1997","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007261220&doi=10.1080%2f01419870.1997.9993962&partnerID=40&md5=249642d7bd47de760eca524eeea1947d","Jewish Research Center, Institute of Sociology, Russian Academy of Sciences, Russian Federation; Institute of Sociology, Bldg. 5, Moscow 117259, Krzhyzhanovsky 24/35, Russian Federation; Department of Political Science, University of Michigan, United States; Department of Political Science, Haven Hall, University of Michigan, Ann Arbor, MI 48109, United States","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088933945&doi=10.13154%2fer.8.2019.8354&partnerID=40&md5=8236cc476efb7c180447d663700459d6","American University, Bulgaria","","English"
"2015","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000399697&doi=10.3989%2fsefarad.015.008&partnerID=40&md5=95cda64359aee778223662ceedd178a6","Universidad de Buenos Aires (UBA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina","","Spanish"
"2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921773367&doi=10.1093%2facprof%3aoso%2f9780195150100.003.0003&partnerID=40&md5=7338717f64f75166aed762f8a0f08afd","Department of Education and Psychology, Hebrew College, 43 Hawes Street, Brookline, 02446, MA, United States","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941421266&doi=10.1177%2f0966735007082516&partnerID=40&md5=963ec187bf053bb79f3cd449b7eae653","","","English"
"2008","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55449130160&doi=10.1080%2f00918360802129337&partnerID=40&md5=9da8345fd1e1d6127166831766e70d67","Department of Religion, Bucknell University, Lewisburg, PA 17837, United States","","English"
"2011","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82755167058&doi=10.1007%2fs10943-010-9359-2&partnerID=40&md5=86f57859eefcb4098e3969bfe0c522ef","Baylor University, Waco, TX, United States; Hebrew Union College-Jewish Institute of Religion, Los Angeles, CA, United States","John Templeton Foundation, JTF, (14644)","English"
"2015","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941010557&doi=10.1163%2f18712428-09502007&partnerID=40&md5=294145f2d23c0077133272633f08bf1d","Divinity School, University of Chicago, Brookings, SD, United States","","English"
"1994","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028678726&partnerID=40&md5=9af9786e18ffc6cfd83a68549276f347","","","Polish"
"2017","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015930091&doi=10.1111%2f1468-5922.12299&partnerID=40&md5=df4c8e503576e949340c6322f9b63f3a","San Francisco, United States","","English"
"2019","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064081492&doi=10.1080%2f21520844.2019.1565199&partnerID=40&md5=355db0b49541d1cbeacaf9e229c0560f","Department of Political Science, Northeastern University, 929 Renaissance Park, 360 Huntington Avenue, Boston, 02115, MA, United States","American Philosophical Society, APS","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950882111&doi=10.1080%2f00397700903237943&partnerID=40&md5=2e1a774433318b3cc37197631b273210","Heinrich-Heine-Universität Düsseldorf, Germany","","German"
"2011","35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878904160&doi=10.1093%2facprof%3aoso%2f9780199751471.001.0001&partnerID=40&md5=07d0e7ffc83e3f0773c1213de4d9a73d","George Washington University, United States","","English"
"2017","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012273153&doi=10.1525%2frac.2017.27.1.95&partnerID=40&md5=9d95875ef45c5076b473f9664371464a","","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61049364752&partnerID=40&md5=49f19bb4b04948db624973d14c750264","Department of Systematic Philosophy, Babes-Bolyai University, Cluj, Romania","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067890597&doi=10.18505%2fcuid.538067&partnerID=40&md5=97cc59b694283822c1994ad7a15b6a4f","Bolu Abant Izzet Baysal üniversitesi, Ilahiyat Fakültesi, Dinler Tarihi Anabilim Dali, Bolu, Turkey","","Turkish"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019197645&doi=10.1080%2f10477845.2017.1317188&partnerID=40&md5=a4682ec48f5155d4d0c6fcce8c5a0e00","Northern Illinois University, De Kalb, IL, United States","","English"
"2021","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114319693&doi=10.1017%2fS0009640721001451&partnerID=40&md5=72b9f91ed2bbe001ac8322f667ef9af9","Institute for Jewish Studies, University of Bern, Bern, Switzerland","","English"
"2007","241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62249126614&doi=10.1163%2f156851507X193108&partnerID=40&md5=92cc0f8858da302caed9cd74e000af14","2140 Vari Hall, York University, Toronto, ON M3J 1P3, Canada","Social Sciences and Humanities Research Council of Canada","English"
"2020","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081285209&doi=10.1080%2f1756073X.2020.1734285&partnerID=40&md5=ad783921889c634e7a7adfdff8aa698c","Chaplaincy and Dean’s Office, Kings College, London, United Kingdom","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946716895&doi=10.1556%2f022.2015.60.1.19&partnerID=40&md5=fb67ba263b3c19c5917556957f1115a3","Institute of Ethnology, Slovak Academy of Sciences, Klemensova 19, Bratislava 1, 813 64, Slovakia","","English"
"2009","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549140374&doi=10.1177%2f0146107909103879&partnerID=40&md5=64bb8ef83b2361a9aa89c52f221a5971","Claremont School of Theology; Claremont Graduate University; Ancient Biblical Manuscript Center; Claremont, CA 91711-0593, PO Box 593, United States","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969848005&doi=10.11136%2fjqh.1210.02.03&partnerID=40&md5=165563ccea565b1c8a1f1cf31931ee36","Department of qur'An and Hadith Studies, Payame Noor University, Tehran, 19395-4697, Iran","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141984978&doi=10.1163%2f15700631-bja10064&partnerID=40&md5=9b7bfc4bd9cc07ca4221612e15981ade","University of Bern, Bern, Switzerland; University of Southampton, Southampton, United Kingdom","","English"
