"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134777261&partnerID=40&md5=65bf2ca24a662fc3e460b9bb86733b5f","Universidad Carlos III de Madrid, Madrid, Spain","","Spanish"
"2014","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924078812&partnerID=40&md5=d21becb02d2ee98751b1d2d86de08870","Centre for Roman Studies, Babeş-Bolyai University, Cluj-Napoca, Romania","","English"
"2015","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992603242&partnerID=40&md5=2aa19ea1ca11e67003c85a7282673d8e","","","Estonian"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072374896&doi=10.1556%2f068.2018.58.1-4.3&partnerID=40&md5=997f37a25582b3a84c838b6508b01f03","Ca' Foscari University of Venice, University of Verona, Italy; Georg-August University of Göttingen, Germany","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072565343&doi=10.1556%2f068.2018.58.1-4.30&partnerID=40&md5=4da5b319dc11588517d9599537fbed32","Classical Archaeology Department of History, Humanities and Society, University of Rome “Tor Vergata”, Italy; Classical Archaeology, Rome, Italy","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058765574&doi=10.4324%2f9781351124263&partnerID=40&md5=930a46845aaadd6fe83a548f1f605a83","Academy of the Sciences of the Republic of Tajikistan, Tajikistan; Department of Academic Research and Publications, The Institute of Ismaili Studies, United Kingdom","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865369956&doi=10.22520%2ftubaar.2011.0008&partnerID=40&md5=fc81a6320ee5b084f0575b0e02433243","Gazi Üniversitesi, Edebiyat Fakültesi, Arkeoloji Bölümü, Teknikokullar/Ankara, Turkey; Gazi Üniversitesi, Fen-Edebiyat Fakültesi, Arkeoloji Bölümü, Ankara, Turkey","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925273898&doi=10.5871%2fbacad%2f9780197265062.003.0003&partnerID=40&md5=7ae4f8dfa62550c446a0d9e9a310c43d","Institutions and Society of Ancient Rome, Collège de France, Paris, France","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071913760&doi=10.5944%2fendoxa.42.2018.15489&partnerID=40&md5=8bcdbfd1f6aabf157f2820e5acd7438c","UNED, Spain","","Spanish"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085135703&doi=10.12797%2fSAAC.23.2019.23.11&partnerID=40&md5=1ddbfb8793c76cdbee43eb964816230d","University of Edinburgh, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928355610&doi=10.1017%2fCBO9781139410847&partnerID=40&md5=684d7908e6d948ab08f79a655a941936","","","English"
"1979","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243119267&doi=10.1016%2f0301-9268%2879%2990031-7&partnerID=40&md5=c55720179e7095974bcc96cb06f82c43","Department of Geology, Western Washington University, Bellingham, WA 98225, United States; Department of Geology, Leicester University, Leicester, England, United Kingdom; Laboratory of Isotope Geochemistry, Department of Geosciences, University of Arizona, Tucson, AZ 85721, United States","Museum of Northern Arizona; Natural Environmental Research Council of Great Britain; U.S. National Science Foundation, (GA31232, GA41505)","English"
"1989","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974232365&doi=10.1017%2fS0003598X00076882&partnerID=40&md5=47733a985bad00f2e6666389abebc563","Faculty of Modern History, University of Oxford, Oxford, OX1 3BD, Broad Street, United Kingdom","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028040285&partnerID=40&md5=e3e9d7a94d0b8cd6ad285e3dcdd4499c","UCL and Institute of Classical Studies, University of London, United Kingdom","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072582846&doi=10.1556%2f068.2018.58.1-4.29&partnerID=40&md5=ae92d88791d6b44e91a60bd053d3af32","Marches Academy of Science, Literature and Arts, Italy","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137324467&doi=10.14795%2fj.v9i2.724&partnerID=40&md5=bed9c3c1bd6b4d73598cc710462e8207","Dicle University, Diyarbakır, Turkey; University of the Aegean, Rhodes, Greece","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138953116&doi=10.4324%2f9781315545967-6&partnerID=40&md5=a0443305e872b23ef984381bf8d3b016","Department of Anthropology, Stanford University, United States","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052729064&doi=10.22059%2fjor.2017.62708&partnerID=40&md5=ba50a69eda42539c684adc0d6c1d0fb1","Faculty of Foreign Language and Literatures, University of Tehran, Tehran, Iran","","Persian"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061848506&doi=10.1093%2foxfordhb%2f9780198747871.013.8&partnerID=40&md5=ffc16e616de1a44e170583b8c4e76243","Aarhus University, Denmark","","English"
"1986","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903884918&doi=10.1524%2fhzhz.1986.243.jg.265&partnerID=40&md5=66d18d4f6bd07b1d6fd136a2aa2569c7","","","German"
"2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072573325&doi=10.1556%2f068.2018.58.1-4.20&partnerID=40&md5=86b5bbea8123010ce3387d9d02fd1b41","Department of History, Cultural Heritage and Protestant Theology Lucian Blaga University, Sibiu, Romania","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144930165&doi=10.1556%2f068.2022.00011&partnerID=40&md5=d1aed0c1b0fcadb53ff9b8d7a6e6ac21","Faculty of Humanities and Social Sciences, Károli Gáspár University of the Reformed Church in Hungary, Hungary","Károli Gáspár University, (20708B800)","English"
"2015","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982982365&doi=10.1002%2f9781118785539.ch15&partnerID=40&md5=46c2e6af1fd70a9b39d70de12c0a414a","","","English"
"2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995527958&doi=10.1007%2f978-3-319-05998-3_6&partnerID=40&md5=35ccbfd569db2d297d9c8994ae301ed0","Independent Scholar, Rychenbergstrasse 271, Winterthur, 8404, Switzerland","","English"
"1987","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963483369&doi=10.1080%2f02757206.1987.9960785&partnerID=40&md5=3feb0c6a06b2ac5c192e73ecee206a1d","Centre National de la Recherche Scientifique, Paris, France","","English"
