"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2001","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024001443&doi=10.1080%2f00393380118277&partnerID=40&md5=279f2089861d99eb9ca28694f6406923","University of California, Santa Barbara, CA, 93106, United States","","English"
"2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048359337&doi=10.1080%2f02549948.2018.1467102&partnerID=40&md5=c5259d3b071f30055ba131881c111de0","History Department of Sun Yat-sen University, Guangzhou, China","R.O.C. Ministry of Science and Technology; Ministry of Science and Technology of the People's Republic of China, MOST, (103-2410-H-030-011)","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102625328&doi=10.1017%2fS147924432100010X&partnerID=40&md5=9a38b9c8ddf4b559646bfe9e9eb55c63","Wolfson College, University of Oxford, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146406202&doi=10.3726%2fb19936&partnerID=40&md5=d1230183e68c0f44687d4380b5875e31","Institute of Ethnology and Cultural Anthropology, University of Warsaw, Poland","","English"
"2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129806405&doi=10.5325%2fphilrhet.55.1.0019&partnerID=40&md5=3cc5f4b9fc7e19131e02c5443af3753d","School of Literature, Language and Media, University of the Witwatersrand, South Africa","","English"
"2003","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967163344&partnerID=40&md5=0cdc9ccbf63b31310a7110e258132cbf","University of Toronto, Massey College, Toronto, Canada","","English"
"1996","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61249397285&doi=10.1080%2f02549948.1996.11731293&partnerID=40&md5=c30295200c3dd91e7b8f665d1a455965","","","English"
"2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885520916&doi=10.1002%2f9781444390650.ch24&partnerID=40&md5=b1211a280f3fd8deb2b7093ffe27baa4","Brandeis University, United States","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074575904&doi=10.24425%2fslo.2019.129989&partnerID=40&md5=93704ddc7f85c44a192b47c46a3272c2","Warszawa, Poland","","Polish"
"2000","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023939543&doi=10.1525%2fjung.1.2000.19.1.7&partnerID=40&md5=67be6184d0c4b53ec98c9983120e3972","","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943791003&doi=10.1163%2fej.9789004167223.i-578.101&partnerID=40&md5=2f5695509da9b713b112ac30852a87c9","Duke University, United States","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047801403&doi=10.1017%2fCBO9781139027649.006&partnerID=40&md5=293ee2f838b9d2f32ef775cd5e54905a","Utrecht University, Netherlands","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142292130&doi=10.1080%2f2222582X.2020.1716197&partnerID=40&md5=d121ddca7c06a72be1799beefd459e33","University of Pretoria, South Africa","","English"
"2013","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956476882&partnerID=40&md5=606ccf913636630846a6c26bb33711f7","","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116198599&partnerID=40&md5=d0612c33e786b2ead2faced28630d612","Hacettepe Üniversitesi, Türk Dili Doktora Programı Mezunu, Ankara, Turkey","","Turkish"
"2000","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61149693943&partnerID=40&md5=d26ae89a080b012380fc6033697e264a","University of Exeter","","English"
"1980","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932647981&doi=10.1080%2f00455091.1980.10716282&partnerID=40&md5=90ae415159675ed0a9f595a9d056b12b","U. of Western Ontario, Canada","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044762014&doi=10.1163%2f22102396-05201003&partnerID=40&md5=ccd195baa7a61ab25c12b37e6a3f2782","Jagiellonian University, Cracow, Poland","","English"
"1979","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84972208075&doi=10.2307%2f3164879&partnerID=40&md5=f9494443350c9f0aff612bb3ffa30f22","Miami University, Oxford, Ohio, United States","","English"
